trial,family,mean_mae,worst_mae,mean_mse,mae_A,mae_B,mae_C,mse_A,mse_B,mse_C,best_epoch_A,best_epoch_B,best_epoch_C,window,hidden_dim,num_layers,dropout,kernel_size,scaler,lr,batch_size,weight_decay,lr_scheduler,k_max,p_max,input_noise_sigma
57,tcn,27.760620008359354,43.48704542428255,1499.7670514301226,16.639619615525007,23.1551949852705,43.48704542428255,812.8195873151951,876.9641459355526,2809.5174210396203,190,85,155,20,64,2,0.2104904811629733,3,minmax_0_1,0.0014147312443552904,32,2.6373612765886257e-06,onecycle,5,0.5,0.0
58,tcn,25.96499486319721,34.13149613581598,1225.1801129261096,34.13149613581598,25.025972966253757,18.737515487521886,2033.005959624696,991.444329061768,651.0900500918647,45,20,10,25,64,3,0.23651085858812673,3,minmax_0_1,0.0008666241199424562,32,1.0287858011945816e-05,onecycle,5,0.25,0.005
59,tcn,30.715847362875937,53.7534179712832,2065.926410230852,13.35844639018178,25.035677727162838,53.7534179712832,640.8459950645115,911.0915342219139,4645.8417014061315,145,60,135,40,256,2,0.20189310523796575,3,minmax_0_1,0.0007243103946829841,32,1.061658665787868e-05,onecycle,7,0.25,0.02
60,tcn,33.754400142518186,44.516146651506425,2054.91099463174,31.515305491946638,25.231748284101485,44.516146651506425,2167.47896756349,972.8177524820363,3024.4362638496923,185,75,160,25,128,2,0.2058064663708247,3,minmax_0_1,0.0005293557963946563,32,8.870939464637347e-06,onecycle,10,0.25,0.0
61,tcn,33.550821271494165,41.43839744226521,1956.7737580602334,35.59583520344493,23.618231168772343,41.43839744226521,2325.7696485787674,867.2962053575033,2677.25542024443,55,65,130,20,64,3,0.15932392032088655,3,standard,0.0005385225434008226,32,1.4556155127255708e-06,onecycle,5,0.25,0.0
62,tcn,38.371127837635576,51.291037088446316,2646.999786119375,33.942601900845766,29.879744523614644,51.291037088446316,2459.18616423123,1421.561753232739,4060.2514408941556,35,10,65,30,256,3,0.1439085675279119,3,minmax_0_1,0.0005105158135501748,32,7.174991030840515e-06,onecycle,5,0.25,0.01
63,tcn,33.49562194173535,53.00474294371903,2395.7028533175776,22.707200385406612,24.7749224960804,53.00474294371903,1563.1864884336019,1172.282945141082,4451.639126378049,125,45,175,50,32,3,0.18834049658619378,3,minmax_0_1,0.000754182678960198,32,4.165799312534477e-06,onecycle,5,0.25,0.0
64,tcn,26.376071901346247,34.99923821493983,1221.3856507943738,34.99923821493983,24.796639406979082,19.332338082119822,1988.8852661262063,945.0028693579865,730.2688168989282,130,90,30,10,64,3,0.18476978176474573,3,minmax_0_1,0.0005462879600912911,64,1.5856248114619985e-06,onecycle,5,0.0,0.0
65,tcn,23.60071299965183,33.26876415498555,1176.6927493804317,33.26876415498555,17.830641364008187,19.702733479961754,2160.261972718787,604.5021188382165,765.3141565842916,165,20,5,60,128,3,0.305518552930913,3,minmax_0_1,0.0016857078085609687,16,1.348090721823266e-05,onecycle,10,0.0,0.01
66,tcn,35.5628650512673,45.92436036862027,2058.9336407056103,35.68564941331644,25.07858537186519,45.92436036862027,1958.4382250216802,942.3232125712458,3276.039484523904,15,25,110,60,128,2,0.32653271602615064,3,standard,0.0010972806885640712,16,3.431488281835145e-05,onecycle,10,0.0,0.01
